,localminute,use
136,2018-01-02 10:14:00,12.834000000000005
137,2018-01-02 10:29:00,13.765000000000002
138,2018-01-02 10:44:00,19.496
139,2018-01-02 10:59:00,27.971000000000004
140,2018-01-02 11:14:00,15.783
141,2018-01-02 11:29:00,16.046000000000006
142,2018-01-02 11:44:00,15.950000000000005
143,2018-01-02 11:59:00,16.878999999999998
144,2018-01-02 12:14:00,16.562
145,2018-01-02 12:29:00,15.795999999999996
146,2018-01-02 12:44:00,15.664
147,2018-01-02 12:59:00,12.161000000000005
148,2018-01-02 13:14:00,11.897000000000002
149,2018-01-02 13:29:00,10.986
150,2018-01-02 13:44:00,9.463
151,2018-01-02 13:59:00,10.198
152,2018-01-02 14:14:00,11.348999999999998
153,2018-01-02 14:29:00,11.608999999999998
154,2018-01-02 14:44:00,9.976
155,2018-01-02 14:59:00,10.158
156,2018-01-02 15:14:00,11.675
157,2018-01-02 15:29:00,10.286
158,2018-01-02 15:44:00,10.671
159,2018-01-02 15:59:00,11.078
160,2018-01-02 16:14:00,13.499
161,2018-01-02 16:29:00,20.577
162,2018-01-02 16:44:00,19.257
163,2018-01-02 16:59:00,28.221999999999994
164,2018-01-02 17:14:00,25.293000000000003
165,2018-01-02 17:29:00,20.492
166,2018-01-02 17:44:00,21.651
167,2018-01-02 17:59:00,25.213
168,2018-01-02 18:14:00,23.336
169,2018-01-02 18:29:00,23.069
170,2018-01-02 18:44:00,25.144
171,2018-01-02 18:59:00,25.704999999999995
172,2018-01-02 19:14:00,23.166
173,2018-01-02 19:29:00,23.804
174,2018-01-02 19:44:00,25.622
175,2018-01-02 19:59:00,51.428
176,2018-01-02 20:14:00,76.66799999999998
177,2018-01-02 20:29:00,69.76000000000002
178,2018-01-02 20:44:00,29.771000000000004
179,2018-01-02 20:59:00,24.0
180,2018-01-02 21:14:00,26.653
181,2018-01-02 21:29:00,27.905000000000005
182,2018-01-02 21:44:00,23.07
183,2018-01-02 21:59:00,21.136
184,2018-01-02 22:14:00,19.3
185,2018-01-02 22:29:00,17.48
186,2018-01-02 22:44:00,21.051
187,2018-01-02 22:59:00,15.349
188,2018-01-02 23:14:00,12.300999999999998
189,2018-01-02 23:29:00,12.778000000000002
