,use,var,jllable,localminute,
96,1.058082639,1.000629977,0,2018/4/8 1:29,7
97,0.961871528,1.84546347,0,2018/4/9 1:29,1
98,0.857721528,1.634875168,0,2018/4/10 1:29,2
99,0.946330556,1.237795635,0,2018/4/11 1:29,3
100,0.675756944,0.52331797,0,2018/4/12 1:29,4
101,0.918038194,0.976041288,0,2018/4/13 1:29,5
102,0.906229861,0.984073829,0,2018/4/14 1:29,6
103,0.744299306,0.548969575,0,2018/4/15 1:29,7
104,0.9364875,1.547292051,0,2018/4/16 1:29,1
105,0.701354167,0.746161157,0,2018/4/17 1:29,2
106,0.681575,0.541700469,0,2018/4/18 1:29,3
107,1.163814583,1.549674593,0,2018/4/19 1:29,4
108,0.74919375,0.913130047,0,2018/4/20 1:29,5
109,0.707940278,0.505587393,0,2018/4/21 1:29,6
110,0.739126389,1.329479163,0,2018/4/22 1:29,7
111,0.862457639,1.43132918,0,2018/4/23 1:29,1
112,0.526110417,0.326372973,0,2018/4/24 1:29,2
113,0.971196528,1.523575845,0,2018/4/25 1:29,3
114,0.851354861,1.238178399,0,2018/4/26 1:29,4
115,0.975138194,1.5335796,0,2018/4/27 1:29,5
116,0.644819444,0.951612808,0,2018/4/28 1:29,6
117,0.718929861,0.89163891,0,2018/4/29 1:29,7
118,0.886080556,1.881580153,0,2018/4/30 1:29,1
119,0.430563889,0.195472145,0,2018/5/1 1:29,2
120,0.3971375,0.186014628,0,2018/5/2 1:29,3
121,1.249109722,2.180172733,1,2018/5/3 1:29,4
122,1.28464375,1.201828409,0,2018/5/4 1:29,5
123,0.882544444,0.653419516,0,2018/5/5 1:29,6
124,0.6394375,0.454343355,0,2018/5/6 1:29,7
125,1.558940278,3.125993441,1,2018/5/7 1:29,1
126,0.805972222,0.884871738,0,2018/5/8 1:29,2
127,0.936452083,1.616076999,0,2018/5/9 1:29,3
128,0.658611111,0.631898232,0,2018/5/10 1:29,4
129,0.704555556,0.741865085,0,2018/5/11 1:29,5
130,1.917042361,3.36732606,1,2018/5/12 1:29,6
131,1.220160417,1.91335249,0,2018/5/13 1:29,7
132,1.216972917,1.790541048,0,2018/5/14 1:29,1
133,1.454233333,4.306505283,1,2018/5/15 1:29,2
134,0.907429861,1.162773731,0,2018/5/16 1:29,3
135,1.226152778,2.375444938,1,2018/5/17 1:29,4
136,1.213695139,1.49414028,0,2018/5/18 1:29,5
137,1.129193056,1.402329254,0,2018/5/19 1:29,6
138,1.535002778,2.110922162,1,2018/5/20 1:29,7
139,1.917706944,5.268418306,1,2018/5/21 1:29,1
140,0.895869444,1.251105987,0,2018/5/22 1:29,2
141,0.855484722,0.935488218,0,2018/5/23 1:29,3
142,1.40238125,3.266558567,1,2018/5/24 1:29,4
143,1.135161806,1.295795714,0,2018/5/25 1:29,5
144,1.627309028,3.253759526,1,2018/5/26 1:29,6
145,1.704963889,2.031829572,1,2018/5/27 1:29,7
146,1.786070139,2.201431605,1,2018/5/28 1:29,1
147,1.706711111,2.778288891,1,2018/5/29 1:29,2
148,1.682322917,3.971111503,1,2018/5/30 1:29,3
149,1.468345139,2.767524384,1,2018/5/31 1:29,4
150,1.0442,1.191646842,0,2018/6/1 6:29,5
151,1.38505,1.434089921,0,2018/6/2 6:29,6
152,1.230458333,1.405046599,0,2018/6/3 6:29,7
153,1.822074306,2.703124604,1,2018/6/4 6:29,1
154,1.082532639,2.094256926,1,2018/6/5 6:29,2
155,1.584086806,2.995798364,1,2018/6/6 6:29,3
156,1.464661111,1.729094872,0,2018/6/7 6:29,4
157,1.455202083,1.616917302,0,2018/6/8 6:29,5
158,1.377517361,1.507625752,0,2018/6/9 6:29,6
159,1.984840278,3.502985663,1,2018/6/10 6:29,7
160,2.0911125,2.624420711,1,2018/6/11 6:29,1
161,1.446463889,1.606643415,0,2018/6/12 6:29,2
162,1.80069375,4.456556224,1,2018/6/13 6:29,3
163,1.415813889,1.694265514,0,2018/6/14 6:29,4
164,1.611921528,2.465262489,1,2018/6/15 6:29,5
165,2.431029167,3.696895563,1,2018/6/16 6:29,6
166,1.454719444,1.694130736,0,2018/6/17 6:29,7
167,1.513064583,1.602127949,0,2018/6/18 6:29,1
168,1.643875,4.710990982,1,2018/6/19 6:29,2
169,0.846372917,1.354405106,0,2018/6/20 6:29,3
170,1.281992361,3.525362465,1,2018/6/21 6:29,4
