,use,var,jllable
0,1.263576389,0.597329856,2
1,1.264067361,0.7461282779999999,2
2,1.023898611,0.288973405,2
3,1.513125,1.541594563,0
4,0.980954861,0.180836728,2
5,0.958413194,0.160596402,2
6,1.3903916669999998,1.316998508,0
7,1.282765972,1.15962986,0
8,1.029486806,0.423199104,2
9,0.85045,0.12019435699999999,2
10,0.9934229170000001,0.518609659,2
11,1.4292131940000001,1.215007528,0
12,1.1087770829999999,0.43249459,2
13,1.250023611,1.3884133330000001,0
14,0.960716667,0.28259999,2
15,1.6638,1.284316208,0
16,1.0134090279999999,0.146590642,2
17,1.111934722,0.857093723,2
18,1.123550694,0.834060505,2
19,1.215602778,0.795616544,2
20,1.6598277780000001,2.011072719,0
21,0.9224625,0.44910967700000004,2
22,1.2034895829999999,1.306903701,0
23,1.1892833329999999,0.918488327,2
24,1.052236806,0.656454868,2
25,1.356402083,0.725782575,2
26,1.1056576390000001,0.5758178629999999,2
27,1.248272917,1.277854582,0
28,1.0902131940000002,1.190913217,2
29,0.898195139,0.098825101,2
30,1.288369444,1.273271038,0
31,0.9716694440000001,0.57619457,2
32,1.269957639,1.247877696,0
33,1.314942361,1.385191465,0
34,1.805219444,2.592311343,1
35,1.280122222,1.22094179,0
36,1.126041667,0.782888757,2
37,1.107136806,0.7696633,2
38,1.2601875,1.477503153,0
39,1.138716667,1.069221061,2
40,0.7153659720000001,0.005371745,2
41,0.9311715279999999,0.32793656600000004,2
42,1.180224306,1.112952489,2
43,1.187895833,1.180901486,0
44,1.398854861,1.9691209490000001,0
45,1.181959722,1.377625296,0
46,0.52555625,0.443486172,2
47,1.166470139,2.0748665230000003,0
48,1.077477778,0.682440323,2
49,0.730273611,0.367066578,2
50,0.608970139,0.511984051,2
51,0.5511152779999999,0.40825881700000005,2
52,1.0279875,0.844693947,2
53,1.116859028,0.592316515,2
54,0.642822917,0.657528743,2
55,0.7653618059999999,1.524569787,0
56,0.5527895829999999,0.62777816,2
57,0.904034722,1.836504783,0
58,0.38520625,0.106049959,2
59,0.615204861,0.6018176120000001,2
